photo_log_row,context_id,context_source,photo_raw,photo_ids,photo_count,TU_col_D,Level_col_E
549,TUCABIN 4-Lunknown,TU_no_level,EPAS2021-916-917,EPAS2021 916; EPAS2021 917,2,CABIN 4,
550,TUCABIN 4-Lunknown,TU_no_level,EPAS2021-918-919,EPAS2021 918; EPAS2021 919,2,CABIN 4,
551,TUCABIN 4-Lunknown,TU_no_level,EPAS2021-920-921,EPAS2021 920; EPAS2021 921,2,CABIN 4,
552,TUCABIN 4-Lunknown,TU_no_level,EPAS2021-922-923,EPAS2021 922; EPAS2021 923,2,CABIN 4,
553,TUCABIN 4-Lunknown,TU_no_level,EPAS2021-924-925,EPAS2021 924; EPAS2021 925,2,CABIN 4,
554,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-926-927,EPAS2021 926; EPAS2021 927,2,SF (TREELINE),
555,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-928-929,EPAS2021 928; EPAS2021 929,2,SF (TREELINE),
556,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-930-931,EPAS2021 930; EPAS2021 931,2,SF (TREELINE),
557,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-932-933,EPAS2021 932; EPAS2021 933,2,SF (TREELINE),
558,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-934-935,EPAS2021 934; EPAS2021 935,2,SF (TREELINE),
559,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-936-937,EPAS2021 936; EPAS2021 937,2,SF (TREELINE),
560,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-938-939,EPAS2021 938; EPAS2021 939,2,SF (TREELINE),
561,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-940-941,EPAS2021 940; EPAS2021 941,2,SF (TREELINE),
562,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-942-943,EPAS2021 942; EPAS2021 943,2,SF (TREELINE),
563,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-944-945,EPAS2021 944; EPAS2021 945,2,SF (TREELINE),
564,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-946-947,EPAS2021 946; EPAS2021 947,2,SF (TREELINE),
565,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-948-949,EPAS2021 948; EPAS2021 949,2,SF (TREELINE),
566,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-950-951,EPAS2021 950; EPAS2021 951,2,SF (TREELINE),
567,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-952-953,EPAS2021 952; EPAS2021 953,2,SF (TREELINE),
568,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-954-955,EPAS2021 954; EPAS2021 955,2,SF (TREELINE),
569,TUSF (TREELINE)-Lunknown,TU_no_level,EPAS2021-956-957,EPAS2021 956; EPAS2021 957,2,SF (TREELINE),
570,STP13,STP_from_TU_column,EPAS2021-958-959,EPAS2021 958; EPAS2021 959,2,STP13,
571,STP13,STP_from_TU_column,EPAS2021-960-961,EPAS2021 960; EPAS2021 961,2,STP13,
572,STP13,STP_from_TU_column,EPAS2021-962-963,EPAS2021 962; EPAS2021 963,2,STP13,
573,TUOP3C1-Lunknown,TU_no_level,EPAS2021-964-966,EPAS2021 964; EPAS2021 965; EPAS2021 966,3,OP3C1,
574,TUOP3C1-Lunknown,TU_no_level,EPAS2021-967-968,EPAS2021 967; EPAS2021 968,2,OP3C1,
575,TUOP3C1-Lunknown,TU_no_level,EPAS2021-969-970,EPAS2021 969; EPAS2021 970,2,OP3C1,
576,TUOP3C1-Lunknown,TU_no_level,EPAS2021-971-972,EPAS2021 971; EPAS2021 972,2,OP3C1,
577,TUOP3C1-Lunknown,TU_no_level,EPAS2021-973-974,EPAS2021 973; EPAS2021 974,2,OP3C1,
578,TUOP3C1-Lunknown,TU_no_level,EPAS2021-975-976,EPAS2021 975; EPAS2021 976,2,OP3C1,
579,TUOP3C1-Lunknown,TU_no_level,EPAS2021-977-978,EPAS2021 977; EPAS2021 978,2,OP3C1,
580,TUOP3C1-Lunknown,TU_no_level,EPAS2021-979-980,EPAS2021 979; EPAS2021 980,2,OP3C1,
581,TUOP3C1-Lunknown,TU_no_level,EPAS2021-981-982,EPAS2021 981; EPAS2021 982,2,OP3C1,
582,TUOP3C1-Lunknown,TU_no_level,EPAS2021-983-984,EPAS2021 983; EPAS2021 984,2,OP3C1,
583,TUCABIN 3-LROW5,TU_Level,EPAS2021-985-986,EPAS2021 985; EPAS2021 986,2,CABIN 3,ROW5
584,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-987-988,EPAS2021 987; EPAS2021 988,2,SF(N.D),
585,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-989-990,EPAS2021 989; EPAS2021 990,2,SF(N.D),
586,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-991-992,EPAS2021 991; EPAS2021 992,2,SF(N.D),
587,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-993-994,EPAS2021 993; EPAS2021 994,2,SF(N.D),
588,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-995-996,EPAS2021 995; EPAS2021 996,2,SF(N.D),
589,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-997-998,EPAS2021 997; EPAS2021 998,2,SF(N.D),
590,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-999-1000,EPAS2021 999; EPAS2021 1000,2,SF(N.D),
591,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1001-1002,EPAS2021 1001; EPAS2021 1002,2,SF(N.D),
592,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1003-1004,EPAS2021 1003; EPAS2021 1004,2,SF(N.D),
593,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1005-1006,EPAS2021 1005; EPAS2021 1006,2,SF(N.D),
594,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1007-1008,EPAS2021 1007; EPAS2021 1008,2,SF(N.D),
595,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1009-1010,EPAS2021 1009; EPAS2021 1010,2,SF(N.D),
596,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1011-1012,EPAS2021 1011; EPAS2021 1012,2,SF(N.D),
597,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1013-1014,EPAS2021 1013; EPAS2021 1014,2,SF(N.D),
598,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1015-1016,EPAS2021 1015; EPAS2021 1016,2,SF(N.D),
599,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1017-1018,EPAS2021 1017; EPAS2021 1018,2,SF(N.D),
600,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1019-1020,EPAS2021 1019; EPAS2021 1020,2,SF(N.D),
601,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1021-1022,EPAS2021 1021; EPAS2021 1022,2,SF(N.D),
602,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1023-1024,EPAS2021 1023; EPAS2021 1024,2,SF(N.D),
603,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1025-1026,EPAS2021 1025; EPAS2021 1026,2,SF(N.D),
604,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1027-1028,EPAS2021 1027; EPAS2021 1028,2,SF(N.D),
605,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1029-1030,EPAS2021 1029; EPAS2021 1030,2,SF(N.D),
606,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1031-1032,EPAS2021 1031; EPAS2021 1032,2,SF(N.D),
